MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,SalePrice
60,RL,65,8450,Reg,208500
20,RL,80,9600,Reg,181500
60,RL,68,11250,IR1,223500
70,RL,60,9550,IR1,140000
60,RL,84,14260,IR1,250000
50,RL,85,14115,IR1,143000
20,RL,75,10084,Reg,307000
60,RL,NA,10382,IR1,200000
50,RM,51,6120,Reg,129900
190,RL,50,7420,Reg,118000
20,RL,70,11200,Reg,129500
60,RL,85,11924,IR1,345000
20,RL,NA,12968,IR2,144000
20,RL,91,10652,IR1,279500
20,RL,NA,10920,IR1,157000
45,RM,51,6120,Reg,132000
20,RL,NA,11241,IR1,149000
90,RL,72,10791,Reg,90000
20,RL,66,13695,Reg,159000
20,RL,70,7560,Reg,139000
60,RL,101,14215,IR1,325300
45,RM,57,7449,Reg,139400
20,RL,75,9742,Reg,230000
120,RM,44,4224,Reg,129900
20,RL,NA,8246,IR1,154000
20,RL,110,14230,Reg,256300
20,RL,60,7200,Reg,134800
20,RL,98,11478,Reg,306000
20,RL,47,16321,IR1,207500
30,RM,60,6324,IR1,68500
70,C (all),50,8500,Reg,40000
20,RL,NA,8544,IR1,149350
20,RL,85,11049,Reg,179900
20,RL,70,10552,IR1,165500
120,RL,60,7313,Reg,277500
60,RL,108,13418,Reg,309000
20,RL,112,10859,Reg,145000
20,RL,74,8532,Reg,153000
20,RL,68,7922,Reg,109000
90,RL,65,6040,Reg,82000
20,RL,84,8658,Reg,160000
20,RL,115,16905,Reg,170000
85,RL,NA,9180,IR1,144000
20,RL,NA,9200,IR1,130250
20,RL,70,7945,Reg,141000
120,RL,61,7658,Reg,319900
50,RL,48,12822,IR1,239686
20,FV,84,11096,Reg,249700
190,RM,33,4456,Reg,113000
20,RL,66,7742,Reg,127000
60,RL,NA,13869,IR2,177000
50,RM,52,6240,Reg,114500
90,RM,110,8472,IR2,110000
20,RL,68,50271,IR1,385000
80,RL,60,7134,Reg,130000
20,RL,100,10175,IR1,180500
160,FV,24,2645,Reg,172500
60,RL,89,11645,IR1,196500
60,RL,66,13682,IR2,438780
20,RL,60,7200,Reg,124900
20,RL,63,13072,Reg,158000
75,RM,60,7200,Reg,101000
120,RL,44,6442,IR1,202500
70,RM,50,10300,IR1,140000
60,RL,NA,9375,Reg,219500
60,RL,76,9591,Reg,317000
20,RL,NA,19900,Reg,180000
20,RL,72,10665,IR1,226000
30,RM,47,4608,Reg,80000
50,RL,81,15593,Reg,225000
20,RL,95,13651,IR1,244000
20,RL,69,7599,Reg,129500
60,RL,74,10141,IR1,185000
20,RL,85,10200,Reg,144900
50,RM,60,5790,Reg,107400
180,RM,21,1596,Reg,91000
20,RL,NA,8475,IR1,135750
50,RM,50,8635,Reg,127000
90,RL,72,10778,Reg,136500
50,RM,60,10440,Reg,110000
60,RL,100,13000,Reg,193500
120,RM,32,4500,Reg,153500
20,RL,78,10206,Reg,245000
20,RL,80,8892,IR1,126500
80,RL,NA,8530,IR1,168500
60,RL,121,16059,Reg,260000
60,RL,122,11911,IR2,174000
160,FV,40,3951,Reg,164500
50,C (all),105,8470,IR1,85000
20,RL,60,8070,Reg,123600
20,RL,60,7200,Reg,109900
20,RL,85,8500,Reg,98600
30,RL,80,13360,IR1,163500
190,C (all),60,7200,Reg,133900
60,RL,69,9337,IR1,204750
60,RL,NA,9765,IR2,185000
20,RL,78,10264,IR1,214000
20,RL,73,10921,Reg,94750
30,RL,85,10625,Reg,83000
20,RL,77,9320,IR1,128950
